algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	p2p-Gnutella31	100	50	BEST	12654.5	3087.03	9567.46	100.254	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12654.5	3091.73	9562.77	54.9325	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12654.5	4187.55	8466.95	94.2567	0.241930	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12654.5	4445.54	8208.96	0.00157367	NA	OK
SandIMIN	p2p-Gnutella31	100	50	BEST	12632.6	3142.32	9490.27	62.9788	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12632.6	3141.8	9490.8	44.3633	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12632.6	5547.57	7085.03	57.4889	0.187704	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12632.6	4449.09	8183.51	0.000221458	NA	OK
SandIMIN	p2p-Gnutella31	100	50	BEST	12633.1	3114.01	9519.07	84.1902	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12633.1	3115.26	9517.82	47.3946	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12633.1	4074.55	8558.53	77.5142	0.255578	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12633.1	4449.28	8183.8	0.000238958	NA	OK
SandIMIN	p2p-Gnutella31	100	50	BEST	12692.7	3077.28	9615.42	77.6048	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12692.7	3078.91	9613.79	42.3319	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12692.7	4037.09	8655.61	71.7138	0.254494	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12692.7	4452.48	8240.22	0.0021395	NA	OK
SandIMIN	p2p-Gnutella31	100	50	BEST	12661.4	3072.63	9588.79	98.8827	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12661.4	3071.16	9590.26	57.0801	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12661.4	4237.55	8423.87	94.1076	0.227273	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12661.4	4456.69	8204.72	0.00118321	NA	OK
SandIMIN	p2p-Gnutella31	100	50	BEST	12664.6	3149.26	9515.38	115.159	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12664.6	3147.04	9517.61	64.6129	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12664.6	4071.5	8593.14	108.705	0.243148	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12664.6	4436.56	8228.08	0.00187929	NA	OK
SandIMIN	p2p-Gnutella31	100	50	BEST	12648	3103.4	9544.63	91.4032	NA	OK
SandIMIN	p2p-Gnutella31	100	50	LB	12648	3105.04	9543	64.2374	NA	OK
SandIMIN	p2p-Gnutella31	100	50	UB	12648	5338.08	7309.95	85.414	0.195236	OK
SandIMIN	p2p-Gnutella31	100	50	OR	12648	4453.21	8194.82	0.000823875	NA	OK
