algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	email-EuAll	500	10	BEST	2446.95	1546.92	900.033	751.709	NA	OK
SandIMIN	email-EuAll	500	10	LB	2446.95	1546.92	900.032	163.772	NA	OK
SandIMIN	email-EuAll	500	10	UB	2446.95	1607.99	838.962	413.45	0.188561	OK
SandIMIN	email-EuAll	500	10	OR	2446.95	1757.03	689.916	0.0005255	NA	OK
SandIMIN	email-EuAll	500	10	BEST	2450.59	1548.85	901.747	861.64	NA	OK
SandIMIN	email-EuAll	500	10	LB	2450.59	1549.02	901.571	138.887	NA	OK
SandIMIN	email-EuAll	500	10	UB	2450.59	1584.34	866.258	617.55	0.235415	OK
SandIMIN	email-EuAll	500	10	OR	2450.59	1757.15	693.44	0.00670467	NA	OK
