algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	p2p-Gnutella31	100	40	BEST	7482.79	1945.5	5537.29	64.6645	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7482.79	1941.89	5540.9	33.7477	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7482.79	2821.05	4661.74	55.4022	0.228321	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7482.79	3177.32	4305.47	0.000210958	NA	OK
SandIMIN	p2p-Gnutella31	100	40	BEST	7469.99	1929.07	5540.92	51.1144	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7469.99	1923.29	5546.7	27.3137	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7469.99	2747.63	4722.36	43.7211	0.191008	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7469.99	3192.5	4277.49	0.000154791	NA	OK
SandIMIN	p2p-Gnutella31	100	40	BEST	7490.45	1928.37	5562.09	77.879	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7490.45	1923.13	5567.32	30.8628	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7490.45	2242.98	5247.48	68.4017	0.232204	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7490.45	3175.88	4314.58	0.000274875	NA	OK
SandIMIN	p2p-Gnutella31	100	40	BEST	7478.21	1910.58	5567.63	63.5391	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7478.21	1910.44	5567.77	26.0443	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7478.21	2308.94	5169.27	54.3425	0.229016	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7478.21	3186.32	4291.89	0.000409666	NA	OK
SandIMIN	p2p-Gnutella31	100	40	BEST	7463.22	1934.47	5528.75	63.6666	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7463.22	1929.88	5533.34	36.2396	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7463.22	2962.5	4500.72	56.6391	0.189477	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7463.22	3185.92	4277.3	0.000959209	NA	OK
SandIMIN	p2p-Gnutella31	100	40	BEST	7473.05	1921.89	5551.16	67.4194	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7473.05	1920.37	5552.68	36.9029	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7473.05	2602.79	4870.25	57.8659	0.197357	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7473.05	3179.12	4293.93	0.000562	NA	OK
SandIMIN	p2p-Gnutella31	100	40	BEST	7452.22	1924.28	5527.94	75.8454	NA	OK
SandIMIN	p2p-Gnutella31	100	40	LB	7452.22	1921.66	5530.57	42.5835	NA	OK
SandIMIN	p2p-Gnutella31	100	40	UB	7452.22	3050.4	4401.83	66.889	0.189673	OK
SandIMIN	p2p-Gnutella31	100	40	OR	7452.22	3173.16	4279.07	0.000918792	NA	OK
