algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	p2p-Gnutella31	200	10	BEST	4372.61	63.7189	4308.89	356.677	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4372.61	86.7966	4285.82	51.9607	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4372.61	426.757	3945.86	98.5549	0.191520	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4372.61	63.7228	4308.89	0.00152612	NA	OK
SandIMIN	p2p-Gnutella31	200	10	BEST	4360.01	63.7197	4296.29	237.968	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4360.01	94.4128	4265.59	37.1391	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4360.01	508.157	3851.85	47.8508	0.192740	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4360.01	63.7161	4296.29	0.000320791	NA	OK
SandIMIN	p2p-Gnutella31	200	10	BEST	4353.56	63.7267	4289.83	273.593	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4353.56	93.6064	4259.95	35.1752	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4353.56	421.264	3932.3	55.5529	0.241426	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4353.56	63.7227	4289.84	0.000192792	NA	OK
SandIMIN	p2p-Gnutella31	200	10	BEST	4384.64	63.725	4320.91	216.737	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4384.64	90.0107	4294.63	29.7891	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4384.64	696.595	3688.04	35.6141	0.189468	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4384.64	63.7321	4320.9	0.00351096	NA	OK
SandIMIN	p2p-Gnutella31	200	10	BEST	4481.72	63.7171	4418.01	252.249	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4481.72	96.3736	4385.35	47.7015	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4481.72	483.122	3998.6	73.3851	0.202582	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4481.72	63.7297	4417.99	0.00154492	NA	OK
SandIMIN	p2p-Gnutella31	200	10	BEST	4370.22	63.7033	4306.51	293.071	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4370.22	100.025	4270.19	54.1432	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4370.22	474.5	3895.72	74.1364	0.207485	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4370.22	63.722	4306.49	0.000851542	NA	OK
SandIMIN	p2p-Gnutella31	200	10	BEST	4389.9	63.7384	4326.16	290.967	NA	OK
SandIMIN	p2p-Gnutella31	200	10	LB	4389.9	103.971	4285.93	48.1461	NA	OK
SandIMIN	p2p-Gnutella31	200	10	UB	4389.9	554.223	3835.67	67.3187	0.186991	OK
SandIMIN	p2p-Gnutella31	200	10	OR	4389.9	63.7309	4326.17	0.00163675	NA	OK
