algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	p2p-Gnutella31	100	10	BEST	4392.42	118.087	4274.33	60.4607	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4392.42	170.258	4222.16	9.20138	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4392.42	510.442	3881.97	13.6751	0.230275	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4392.42	118.08	4274.34	9.0459e-05	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4353.81	118.108	4235.7	145.397	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4353.81	158.765	4195.04	20.6801	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4353.81	496.983	3856.83	32.503	0.211610	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4353.81	118.091	4235.72	0.00027375	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4382.61	118.123	4264.49	152.516	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4382.61	167.643	4214.97	20.1008	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4382.61	596.767	3785.85	30.4871	0.202907	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4382.61	118.11	4264.5	0.00012625	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4337.51	118.111	4219.4	122.747	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4337.51	175.728	4161.78	19.6213	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4337.51	619.022	3718.49	23.5139	0.187620	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4337.51	118.103	4219.41	0.000200041	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4345.24	118.117	4227.12	134.325	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4345.24	167.156	4178.08	18.147	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4345.24	475.765	3869.47	28.3984	0.202974	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4345.24	118.103	4227.14	0.000183375	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4375.41	118.095	4257.31	180.195	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4375.41	166.767	4208.64	21.6671	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4375.41	311.441	4063.97	44.9979	0.219147	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4375.41	118.078	4257.33	0.00103317	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4364.67	118.122	4246.55	137.345	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4364.67	165.714	4198.96	22.8653	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4364.67	725.528	3639.14	30.9745	0.191722	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4364.67	118.109	4246.56	0.000437167	NA	OK
SandIMIN	p2p-Gnutella31	100	10	BEST	4368.42	118.134	4250.28	176.704	NA	OK
SandIMIN	p2p-Gnutella31	100	10	LB	4368.42	156.192	4212.23	31.0197	NA	OK
SandIMIN	p2p-Gnutella31	100	10	UB	4368.42	454.141	3914.28	50.1402	0.222148	OK
SandIMIN	p2p-Gnutella31	100	10	OR	4368.42	118.091	4250.33	0.000837833	NA	OK
