algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	email-EuAll	100	50	BEST	9415.17	7778.89	1636.28	344.308	NA	OK
SandIMIN	email-EuAll	100	50	LB	9415.17	7779.71	1635.46	176.728	NA	OK
SandIMIN	email-EuAll	100	50	UB	9415.17	7970.92	1444.24	286.393	0.197536	OK
SandIMIN	email-EuAll	100	50	OR	9415.17	8070.99	1344.17	0.00533775	NA	OK
SandIMIN	email-EuAll	100	50	BEST	9408.85	7780.28	1628.57	410.016	NA	OK
SandIMIN	email-EuAll	100	50	LB	9408.85	7780.94	1627.91	211.792	NA	OK
SandIMIN	email-EuAll	100	50	UB	9408.85	7952.67	1456.19	361.078	0.195329	OK
SandIMIN	email-EuAll	100	50	OR	9408.85	8072.8	1336.05	0.0115056	NA	OK
