algorithm	dataset	k	|S|	result_type	spread_before	spread_after	saved_nodes	time_seconds	approx_ratio	status
SandIMIN	email-EuAll	100	20	BEST	4450.3	3580.3	870.003	488.496	NA	OK
SandIMIN	email-EuAll	100	20	LB	4450.3	3579.3	871.005	168.887	NA	OK
SandIMIN	email-EuAll	100	20	UB	4450.3	3680.41	769.897	384.395	0.194251	OK
SandIMIN	email-EuAll	100	20	OR	4450.3	3853.75	596.553	0.00639038	NA	OK
SandIMIN	email-EuAll	100	20	BEST	4450.45	3580.64	869.804	315.571	NA	OK
SandIMIN	email-EuAll	100	20	LB	4450.45	3581.07	869.379	79.4883	NA	OK
SandIMIN	email-EuAll	100	20	UB	4450.45	3713.13	737.314	217.611	0.192908	OK
SandIMIN	email-EuAll	100	20	OR	4450.45	3857.33	593.117	0.00256475	NA	OK
SandIMIN	email-EuAll	100	20	BEST	4453.67	3687.08	766.59	408.624	NA	OK
SandIMIN	email-EuAll	100	20	LB	4453.67	3578.27	875.399	95.6056	NA	OK
SandIMIN	email-EuAll	100	20	UB	4453.67	3686.06	767.614	283.312	0.200444	OK
SandIMIN	email-EuAll	100	20	OR	4453.67	3855.62	598.054	0.0147446	NA	OK
